X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Gas.Volume Fraction.Trnavg, kla [ s^-1 ], Liquid.Velocity.Trnavg Axial [ m s^-1 ], Liquid.Velocity.Trnavg Radial [ m s^-1 ], Ostar [ kg m^-3 ], Radius [ m ]
0.346635789,0.355048686,-0.346635759,0.00234577619,0.153043076,0.124245703,0.269564778,-0.261945546,0.0205012374,0.492664665
0.086812146,0.355053842,-0.0868121386,0.0106430361,0.297253311,0.190464571,0.132778257,0.10811691,0.0198490787,0.137994125
-0.131414831,0.357948422,0.131414816,0.00390974106,0.259731889,0.173696458,0.215529963,0.134794965,0.0198724121,0.192561641
-0.933631539,0.358450115,0.933631539,0.00620658137,0.129047781,0.0786967948,0.0573416278,0.654646754,0.0217767209,1.32203555
0.621624708,0.358842313,-0.621624768,0.0034344024,0.175553292,0.120327771,-0.311509132,-0.0884307772,0.0215827059,0.879624903
-0.457600236,0.360124707,0.457600236,0.00191098021,0.157225519,0.120790668,0.0676808059,-0.258986712,0.021126302,0.64771235
-0.239062339,0.360637367,0.239062339,0.00294822827,0.174433902,0.133662358,0.380536675,-0.00568602467,0.0201185085,0.340302229
0.319908381,0.361118078,-0.319908381,0.0025673653,0.156197429,0.126933649,0.327225417,-0.210980743,0.0203678217,0.454433978
0.934191227,0.363852859,-0.934191227,0.00816616602,0.132166773,0.0818832889,0.0637786239,0.71917057,0.0219146311,1.32312632
0.2107279,0.366791666,-0.2107279,0.00631879736,0.197580904,0.148982748,0.376865447,0.0737527385,0.019963881,0.300330102
-0.175298199,0.367108375,0.175298199,0.00284441235,0.237372085,0.168268666,0.272504419,0.101055101,0.0199554209,0.249327928
-0.564241827,0.368616104,0.564241827,0.00241302862,0.171883076,0.124457881,-0.161716029,-0.177378237,0.0213902816,0.798325419
-0.696315765,0.369393736,0.696315765,0.0105014257,0.18609333,0.124807477,-0.431218207,0.0864025503,0.0215970594,0.987351418
0.468890727,0.369672298,-0.468890727,0.00394036667,0.162882566,0.123962037,0.0323301479,-0.299431741,0.0210735612,0.665132225
-1.10297608,0.371812671,1.10297608,0.00226752949,0.0325042009,0.0186679624,0.489691257,0.578147888,0.0219599716,1.56077337
0.644234359,0.372105509,-0.644234359,0.00377857126,0.180570304,0.123019725,-0.388039768,-0.0142865106,0.0216243509,0.911569595
0.290489793,0.372953624,-0.290489793,0.00355534069,0.161804289,0.131196126,0.386877358,-0.152677089,0.0202232972,0.414672554
0.406340182,0.375100285,-0.406340182,0.00228423206,0.160719112,0.128044441,0.162502438,-0.300265014,0.0207866225,0.57679379
-0.476720482,0.375680357,0.476720512,0.00184754678,0.163642496,0.125308186,0.0294557642,-0.246367976,0.0211728197,0.675087273
0.435968459,0.376871169,-0.435968459,0.00180639292,0.163111657,0.127572894,0.104256436,-0.301732868,0.0209206305,0.618062198
0.502299368,0.378938645,-0.502299309,0.00222063414,0.16844964,0.125749663,-0.0440816246,-0.275995314,0.0212074909,0.712907791
-0.141203091,0.379066467,0.141203091,0.00144700368,0.269471884,0.184012145,0.240944743,0.141430914,0.0198700577,0.20669353
0.714175105,0.37933445,-0.714175165,0.00521528115,0.187158227,0.125036344,-0.421112657,0.184493914,0.0217362605,1.01154935
-0.997766316,0.38037163,0.997766376,0.00487615541,0.113601372,0.0687394068,0.223525897,0.693024337,0.0218163393,1.41162384
-0.114659742,0.380456179,0.114659742,0.00416677818,0.294694036,0.19622162,0.195540488,0.121421233,0.0198536217,0.174418047
-0.515936434,0.382173896,0.515936434,0.00140683004,0.169813633,0.127087444,-0.0620718189,-0.222336829,0.0212780647,0.73034656
0.178028882,0.382399201,-0.178028896,0.00556621002,0.233297363,0.171540231,0.33719337,0.0959175974,0.0199040119,0.254646719
0.202753216,0.38411665,-0.202753216,0.00218154676,0.208876655,0.158028394,0.393642604,0.0876440704,0.019930426,0.290277421
0.984187126,0.387680173,-0.984187126,0.00609409064,0.124084428,0.0759429634,0.171142414,0.74718827,0.0219148472,1.39305627
-0.151801288,0.388225883,0.151801288,0.00441490766,0.267201245,0.185741439,0.267113119,0.138189211,0.0198772978,0.217534453
0.734324694,0.388671041,-0.734324694,0.00691356789,0.189854369,0.126738161,-0.428439617,0.255829573,0.021755008,1.03974485
0.219461605,0.389038026,-0.219461605,0.00176486478,0.203371122,0.15675725,0.403685778,0.0458989516,0.0199737195,0.311953068
-0.468668342,0.391334474,0.468668342,0.00138286024,0.167123258,0.129787609,0.0547896624,-0.23092021,0.0211372897,0.66366744
-1.0182749,0.391935289,1.0182749,0.00359557103,0.109768316,0.0660808533,0.26350373,0.684170723,0.0218267683,1.4402566
-0.527897716,0.392041266,0.527897716,0.00214868505,0.173667803,0.129517093,-0.0923189521,-0.206103683,0.0213033669,0.747494578
-0.222540781,0.392498761,0.222540781,0.00231934362,0.201435119,0.15427652,0.408003777,0.0184266269,0.0200472102,0.319518477
0.38080439,0.394343227,-0.38080442,0.000587591785,0.1656854,0.135886014,0.23294729,-0.286497653,0.0206443239,0.538622975
